60,Cannes Film Festival 2024: Aditi Rao Hydari stuns in black-and-white backless gown by Gaurav Gupta
61,Drunk Farah Khan 'Abused' DJ at Party Hosted For Ed Sheeran: 'Kya Maiyyat Ke Gaane Baja Raha Hai'
62,When Farah Khan shouted at DJ for playing Ed Sheeran songs
63,When Farah Khan failed to recognise Ed Sheeran's song at a party she hosted for him; told DJ 'kya maiyyat
64,When Farah Khan yelled at a DJ for playing Ed Sheeran songs: 'Kya maiyyat ke gaane baja raha hai!'
65,Janhvi Kapoor reveals paparazzi get paid per photo based on celebrity popularity
66,"Janhvi Kapoor On The Modus Opearandi Of The Paparazzi: ""If Your Price Is High, They Follow Your Car"""
67,Janhvi Kapoor claims there is a celebrity ration card for paparazzi: 'Agar aapki price ho to...'
68,'No More Gym Photos': Janhvi Kapoor's Message To Paparazzi
69,Janhvi Kapoor's white and purple floral lehenga is perfect for summer weddings
70,8 Times Janhvi Kapoor Captivated in a Bodycon Dress
71,"""Nice Look"": Paps To Janhvi Kapoor And Rajkummar Rao"
72,Janhvi Kapoor’s cricket-themed method dressing for Mr. and Mrs. Mahi
73,Preity Zinta is the quintessential ‘pretty woman’ on Cannes 2024 red carpet in pink sequin saree
74,Internet is stunned by Preity Zinta's 'fake accent' at Cannes Film Festival: She sounds absolutely ridiculous
75,"Cannes 2024: A Saree Moment On The Red Carpet, Courtesy Preity Zinta. Bonus - Her Daytime Outfits"
76,Preity Zinta's Cannes appearance sparks 'Fake Accent' outcry on social media
77,Heeramandi’s casting director justifies choosing Sharmin Segal to play Alamzeb: ‘We know what we have don
78,"Sanjay Leela Bhansali opens up on Sharmin Segal's performance in Heeramandi: She kept saying 'Mama, I'll underplay'"
79,"‘Heeramandi’ actor Indresh Malik defends Sharmin Segal, predicts a bright future for the actress"
80,10 Bollywood Actors Who Opened Up About Nepotism: Alia Bhatt To Saif Ali Khan And Others
81,Gunther crowned King of the Ring after intense clash with Randy Orton
82,"WWE King And Queen Of The Ring 2024 Results, Highlights And Takeaways"
83,"Triple H addresses King of the Ring controversy between Orton, Gunther"
84,Results Of WWE's 2024 King Of The Ring Tournament Finals
85,"Badshah Ends 15-Year-Old Fight with Honey Singh: 'Jodne Waale Bahut Kam The, Todne Waale Bahut The'"
86,"Badshah Ends Feud With Honey Singh At A Concert: ""Want To Leave That Grudge Behind"""
87,Badshah ends long-running feud with Honey Singh at Dehradun concert
88,Badhshah Wants To End Feud With Honey Singh Says ‘I’ve Left That Phase Behind'
89,"5 best moments from The Great Indian Kapil Show with Anil Kapoor, Farah Khan"
90,"The Great Indian Kapil Show 9th episode first impression: Anil Kapoor and Farah Khan might be forever young, but Kapil Sharma's jokes are getting old"
91,The Great Indian Kapil Show: Farah Khan reveals she wants to have an affair with Tom Cruise; says 'I have
92,Farah Khan says she 'curses' those who hurt her: 'May your next 3-4 films flop'
93,Buzz: Prabhas’ Kalki 2898 AD trailer to be out at this time
94,"Kalki 2898 AD: Naga Chaitanya Meets AI-Powered Car Bujji - ""I'm Still In Shock"""
95,This is how the makers of Kalki 2898 AD approached Prabhas with the offer
96,South newsmakers of the week: Rajinikanth honored with UAE Golden Visa; Mammootty’s ‘Turbo’ shines at box
97,"Weekly Horoscope Aquarius, May 26- June 01, 2024 predicts challenges and resolutions"
98,"Daily Aquarius Horoscope Today, May 26, 2024: Have clarity and keep moving forward!"
99,"Aquarius Horoscope Today: May 26, 2024"
100,"Aquarius horoscope Today, May 26, 2024: Ganesha says today is going to be a very auspicious day, due to..."
101,"Bollywood Newswrap, May 25: Karan Johar announces next directorial on birthday, Ranveer Singh gushes over Deepika Padukone’s latest pics, Anasuya Sengupta wins Best Actress award at Cannes 2024"
102,"An Inside Pic From Karan Johar's Birthday Bash Featuring Ananya Panday, Shanaya Kapoor And Manish Malhotra"
103,Karan Johar shares Instagram post of mystery script narration draft that he will direct on birthday
104,"Karan Johar birthday: Director announces new movie, fans eager for Shah Rukh Khan-Kajol reunion. Check Det"
105,Chief guest confirmed for Gangs of Godavari pre-release event
106,Anjali Questions Director About Cuss Words
107,‘Gangs of Godavari’ trailer: Vishwak Sen is a short-tempered anti-hero in this action drama
108,Director’s Interview Creates Unnecessary Rift
109,Most Watched Film On OTT Is A Copy?
110,Is Kiran Rao's Laapataa Ladies similar to Ananth Mahadevan's 1999 film Ghoonghat Ke Pat Khol? Here's what he claims
111,Author Nivedita Shukla supports Ananth Mahadevan’s claim of plagiarism against Kiran Rao’s Laapataa Ladie
112,Ananth Mahadevan claims Kiran Rao's Laapataa Ladies is similar to his 1999 film Ghoonghat Ke Pat Khol: 'Many incidents are the same'
113,Salaar 2: Team puts a checkmark on rumours in style
114,Prabhas-starrer Salaar 2 shelved? Fans think makers have reacted with new picture
115,Salaar 2 Rumours: Prabhas & Neel Can’t Stop Laughing
116,"Buzz – Salaar 2 shelved due to creative differences, deets inside"
117,"Countdown to King & Queen of the Ring: May 25, 2024"
118,"WWE King & Queen of the Ring 2024: Date, time, venue and match card"
119,King & Queen of the Ring recap & reactions: The crowning
120,"King And Queen Of The Ring Winners To Get Title Matches At WWE SummerSlam, Says Triple H - WATCH"
121,"Turbo box office collections: Mammootty starrer has a Good hold on Day 2, Tops 25Cr Worldwide"
122,Turbo Movie Review: A turbo charged entertainer with all elements in place
123,Turbo movie review: A double-engine Mammootty and nefarious Raj B Shetty shoulder wafer-thin actioner
124,"YouTube takes down Aswanth Kok's 'Turbo' review, sparks outrage"
125,AM Ratnam announces the re-release of blockbuster Indian – Deets inside
126,Indian 2 First Song Paaraa: The Return Of Kamal Haasan As Senapathy
127,"'Indian 2': Ranveer Singh, Ram Charan And Chiranjeevi to Attend Audio Launch on June 1"
128,Kamal Haasan's 1996 Blockbuster Indian To Re-Release On This Date
129,"Global Box Office: ‘Furiosa’ Stalls With $58 Million, ‘The Garfield Movie’ Nears $100 Million"
130,"Mad Max: Director George Miller on tech limitations, the origin of the franchise and the future of film"
131,‘Furiosa’: How AI Helped Combine Anya Taylor-Joy’s Features With Child Actor Alyla Browne
132,"All 5 'Mad Max' Movies Ranked, from 'The Road Warrior' to 'Furiosa'"
133,Cannes 2024: Preity Presents Pierre Angenieux ExcelLens Award To Dil Se Cinematographer Santosh Sivan
134,Santhosh Sivan thanks Malayalam cinema as he receives Pierre Angenieux award at Cannes
135,Cannes 2024: Preity Zinta presents Pierre Angenieux ExcelLens award to Santosh Sivan
136,Proud moment
137,"New Day, New Pics Of Rakul Preet Singh And Jackky Bhagnani From Fiji Diaries"
138,Rakul Goes On A Beach Holiday
139,Rakul Preet shares new way of having coconut water from Fiji with hubby Jackky
140,Rakul Preet Singh gives her fans a glimpse into her exotic vacation with husband Jaccky Bhagnani - See ph
141,"Mahesh Babu's new look from Gautam's convocation goes viral | Latest Telugu cinema news | Movie reviews | OTT Updates, OTT"
142,Gautam’s Graduation Reveals Mahesh’s Secret Look
143,Mahesh Babu is proud that his son graduated from ISH
144,Mahesh Babu's 'Heart Bursts with Pride' as Son Gautam Graduates: 'Next Chapter Is Yours to Write'
145,"Weekly Horoscope Capricorn, May 26- June 01, 2024 predicts family celebrations"
146,"Capricorn Horoscope Today: May 25, 2024"
147,"Capricorn horoscope Today, May 26, 2024: Ganesha says today is going to be a very auspicious day for you..."
148,"Capricorn Horoscope For Today, May 26, Sunday - Discipline and Dedication Lead to Success"
149,"Richa Chadha says Bhansali was ‘losing patience’ with her when she was asked to give 99 takes for Heeramandi song, recalls being ‘totally demolished’"
150,Richa Chadha Recalls When She Lost A Role To A Star Kid After Multiple Auditions
151,'Heeramandi’ actress Richa Chadha compares Sanjay Leela Bhansali's directorial style to Kubrick and Spiel
152,‘I Could See Anger And Humiliation On Her Face…’ Sanjay Leela Bhansali Reveals Actress’s Emotional Struggle During ‘Heeramandi’ Shoot
153,Singham Again: It’s a wrap in Kashmir
154,Ajay Devgn stands with J&K Police in new pics as Rohit Shetty announces Kashmir 'schedule wrap' of Singham Again
155,Ajay Devgn serves up swag in Singham avatar in new photo from Jammu and Kashmir
156,Ajay Devgn's intense look from 'Singham Again' shooting in Kashmir engages fans
157,Script work for the much-awaited sequel is done
158,Akhanda 2: Here’s an exciting update from the Nandamuri Balakrishna-starrer sequel!...
159,Exclusive: Record budget for Balakrishna’s Next
160,Revealed – Akhanda 2’s massive budget
161,"Pakistani Actor Hania Aamir On Dating Rumours With Badshah: ""My Only Problem Is That I'm Not Married"""
162,Pakistani actor Hania Aamir addresses rumors regarding her relationship with Badshah
163,Pakistani actress Hania Aamir on dating rumours with rapper Badshah: 'My problem is that I am not married'
164,Pakistani actor Hania Aamir reacts to Badshah dating rumours: 'My problem is that I'm not married'
165,Heeramandi actress Sharmin Segal aka Alamzeb gets massively trolled for being disrespectful to co star Sanjee
166,Sharmin Segal hit with new wave of internet fury for 'bullying' Heeramandi co-star Sanjeeda Shaikh during interview
167,"Fans REACT as Sharmin Segal rolls her eyes, makes faces at Sanjeeda Sheikh while she speaks in an intervi"
168,Heeramandi: Sharmin Segal Gets Brutally Trolled for Being 'Disrespectful' to Sanjeeda Shaikh | Watch
169,Pic Talk: Balayya Meets CM Revanth Reddy
170,Balakrishna Meets CM Revanth Reddy
171,Hyderabad: Actor politician Nandamuri Balakrishna meets Telangana Chief Minister Revanth Reddy at his residence in Jubilee Hills #Gallery
172,Balakrishna's meeting with T CM Revanth Reddy trigger discussions - Telugu News
173,How to Watch the 2024 Cannes Awards Ceremony Live Stream
174,"All the Films in Competition at Cannes, Ranked from Best to Worst"
175,"Cannes Film Festival Closing Ceremony 2024 Red Carpet, Live Updates: Demi Moore, Elle Fanning & More Looks [PHOTOS]"
176,"Cannes 2024: From ‘Anora’ to ‘All We Imagine As Light’, here’s the list of winners at the 77th Cannes Film Festival"
177,All 15 Super Junior Members Reunite At Ryeowook's Wedding With Former Tahiti Member Ari
178,Super Junior’s Ryeowook gets married to former TAHITI member Ari; dedicates heartfelt song to his bride
179,Super Junior OT15 assemble at Ryeowook's wedding
180,"Shah Rukh Khan agreed to the word ‘intercourse’ being cut in Jab Harry Met Sejal, Omkara was cleared because Saif Ali Khan’s mom was CBFC chief: Pahlaj Nihalani"
181,Former CBFC Chief Pahlaj Nihalani accuses predecessor Sharmila Tagore of bias in passing son Saif Ali Kha
